Flag,Name,Addresses,MAC,Type,Maps,Services Down,Notes
up,Hospital de Mascotas SAJI,189.201.241.181,48:A9:8A:18:D7:7F,,CLIENTES FIBRA,,
up,Grupo ECO - OficinaProfuel,177.11.216.206,,,Grupo ECO,,
up,Alestra_IENOVA - Don Diego --> Gateway,201.139.232.38,,,Benjamin Hill,,
up,Fibra - Aura,187.249.0.190,Routerboar:31:FF:5D,MikroTik,CARRIERS PRINCIPALES,,
up,Gobierno - MXLI,10.3.4.6,Routerboar:F7:87:92,,Gobierno,,
up,Rumorosa R7 - Fiarum Mxli,10.13.100.1,MimosaNetw:27:BC:90,,Rumorosa,,
up,Fiarum Mxli - Rumorosa R7,10.13.100.2,MimosaNetw:27:BC:AE,,Rumorosa,,
up,Rumorosa R7 - Fiarum Rumorosa,10.13.100.4,MimosaNetw:27:6D:2B,,Rumorosa,,
up,Fiarum Rumorosa - Rumorosa R7,10.13.100.5,MimosaNetw:24:91:25,,Rumorosa,,
down,Cerro Bola - Cerro Azul 1,10.105.1.4,XEROXCORPO:00:06:00,,Cerro Bola,ping,
up,Cerro Azul 1 - Cerro Bola,10.105.2.17,MimosaNetw:FE:8E:2C,,Cerro Bola,,
down,Repetidora Cerro Azul 1,10.105.4.2,00:B5:20:08:58:FD,,Cerro Bola,ping,
up,45.231.223.248,45.231.223.248,,,CLIENTES CON EXTERNOS,,
up,Monitoreo de Luz - Saturno,10.18.4.253,B8:69:F4:66:B9:72,Monitoreo de Luz,MONITOREOS DE LUZ,,
up,Convergia + G-Global CD Juarez / Oficinas + 100Mbps,10.10.15.94,,,Convergia,,
up,Agencia Digital - Mexicali,143.202.78.11,48:A9:8A:D4:68:06,,Gobierno,,
up,Agencia Digital - Tijuana,143.202.77.215,B8:69:F4:6A:73:5E,,Gobierno,,
up,Conmutador 3CX - Nube [Convergia],204.10.201.41,,,MamaMiaPizza,,
down,Cecyte - Bahia de los Angeles,10.10.15.104,,,STARLINK,ping,
down,Cecyte - Villas de Jesus,10.10.15.106,,,STARLINK,ping,
up,Core Vallarta,10.109.4.254,08:55:31:EB:33:52,,Vallarta,,
up,Switch Fibra,10.109.4.100,2C:C8:1B:61:7C:66,,Vallarta,,
up,Switch AP,10.109.4.101,Routerboar:5C:ED:FB,,Vallarta,,
up,IMOS,143.202.79.7,CC:2D:E0:A7:FC:24,,CLIENTES FIBRA,,
up,PrintFull,10.133.4.7,C4:AD:34:71:56:A4,,CLIENTES FIBRA,,
up,STA - IENOVA.Alestra_Rumorosa,10.13.2.1,Dragonwave:01:85:67,,Rumorosa,,
up,AP - Rumorosa_Alestra.IENOVA,10.13.2.2,Dragonwave:00:F0:91,,Rumorosa,,
up,Alestra.IENOVA_Publica,201.139.229.229,,,Rumorosa,,
up,Ethernet.Alestra_Rumorosa,10.13.2.6,CC:2D:E0:CD:26:1B,,Rumorosa,,
up,ROSARITO ESPECTACULAR,10.108.4.120,74:4D:28:AC:25:78,MikroTik,DIAGRAMA DE RED,,
up,MamaMiaPizza - Hipodromo,143.202.77.122,DC:2C:6E:DC:17:C8,,MamaMiaPizza,,
up,MamaMiaPizza - Otay,189.201.241.41,2C:C8:1B:5A:DD:7B,,MamaMiaPizza,,
up,MamaMiaPizza - Playas,143.202.79.50,DC:2C:6E:DC:17:E0,,MamaMiaPizza,,
up,MamaMiaPizza - Las Huertas,189.201.241.35,2C:C8:1B:5A:D8:78,,MamaMiaPizza,,
up,MamaMiaPizza - Altamira,143.202.77.73,Routerboar:F7:51:E2,,MamaMiaPizza,,
up,MamaMiaPizza - Monarcas,189.201.240.171,2C:C8:1B:5A:DF:C5,,MamaMiaPizza,,
up,MamaMiaPizza - Sierra,189.201.241.188,2C:C8:1B:5A:CF:4E,,MamaMiaPizza,,
up,MamaMiaPizza - Villafontana,189.201.240.15,DC:2C:6E:DA:3A:87,,MamaMiaPizza,,
up,MamaMiaPizza - Libertad,189.201.241.183,DC:2C:6E:BE:A7:48,,MamaMiaPizza,,
up,MamaMiaPizza - Santa Fe,189.201.240.38,DC:2C:6E:DC:11:5C,,MamaMiaPizza,,
up,MamaMiaPizza - Florido,189.201.241.214,DC:2C:6E:DA:27:1B,,MamaMiaPizza,,
up,MamaMiaPizza - Tecate,143.202.77.42,DC:2C:6E:DA:33:1B,,MamaMiaPizza,,
up,MamaMiaPizza - Rosarito,143.202.79.34,DC:2C:6E:DA:3A:8D,,MamaMiaPizza,,
up,MamaMiaPizza - Cacho,189.201.241.190,DC:2C:6E:DA:3A:B1,,MamaMiaPizza,,
up,MamaMiaPizza - Taller,189.201.240.103,DC:2C:6E:DC:17:9E,,MamaMiaPizza,,
up,MamaMiaPizza - San Ysidro,143.202.77.67,DC:2C:6E:DA:3A:93,,MamaMiaPizza,,
up,MamaMiaPizza - Corporativo,189.201.241.187,78:9A:18:A6:82:7C,,MamaMiaPizza,,
down,Cecyte - CañonBuenaVista,10.10.15.110,,,STARLINK,ping,
up,DIF - Ensenada CRI Adulto Mayor,10.10.15.118,,,Gobierno,,
up,DIF - Ensenada Velatorio,10.10.15.116,02:A0:2F:FE:80:80,,Gobierno,,
up,DIF - Jardines,10.10.15.120,,,Gobierno,,
up,DIF - SanQuintin Hypernet,10.10.15.112,,,Gobierno,,
up,DIF - Velatorio SanQuinitin Hypernet,10.10.15.114,,,Gobierno,,
up,DIF - Subprocuraduria SanFelipe,10.10.15.100,,,Gobierno,,
up,DIF - VelatorioSanFelipe,10.10.15.102,,,Gobierno,,
down,Monitoreo de Luz - Obregon,10.60.4.252,XEROXCORPO:00:06:00,Monitoreo de Luz,MONITOREOS DE LUZ,ping,
up,Convergia,10.10.15.94,,,CLIENTES FIBRA,,
up,FIBRA - PALOS VERDES,187.249.72.98,,MikroTik,CARRIERS PRINCIPALES,,
up,FIBRA - FUENTE DE LOS VIENTOS,187.249.73.34,DC:2C:6E:24:38:AF,MikroTik,CARRIERS PRINCIPALES,,
up,Carlos Salinas de Gortari  AP,10.101.2.19,,,Convergia,,
up,Carlos Salinas de Gortari  ST,10.101.2.20,,,Convergia,,
up,Carlos Salinas de Gortari,10.101.4.24,18:FD:74:CB:3B:58,,Convergia,,
